Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Color,Sound_Mix,Aspect_Ratio
The Intouchables,2011,112,R,9500000,10198820,103507,2012-05-27 00:00:00,426590315,Color,Dolby Digital,1.85 : 1
Cinema Paradiso,1988,174,PG,5000000,12397210,16552,1990-02-04 00:00:00,13020497,Color,Mono,1.66 : 1
Modern Times,1936,87,G,1500000,163577,35809,2003-12-28 00:00:00,463618,Black and White,Silent,1.37 : 1
Rear Window,1954,112,PG,0,0,0,1900-01-01 00:00:00,0,,,
Once Upon a Time in the West,1968,166,PG-13,0,0,0,1900-01-01 00:00:00,0,,,
Alien,1979,117,R,11000000,84206106,3527881,1979-05-28 00:00:00,108591169,,,
City Lights,1931,87,G,1500000,19181,9102,2007-07-08 00:00:00,50419,,,
Django Unchained,2012,165,R,100000000,162805434,30122888,2012-12-30 00:00:00,426076293,Color,SDDS Datasat Dolby Digital,2.39 : 1
Apocalypse Now,1979,147,R,31500000,96042913,118558,1979-08-19 00:00:00,104920499,,,
Memento,2000,113,R,9000000,25544867,235488,2001-03-18 00:00:00,40047236,Color Black and White,Dolby Digital,2.39 : 1
WALL·E,2008,98,G,180000000,223808164,63087526,2008-06-29 00:00:00,527402840,Color,DTS SDDS Dolby Digital Dolby Atmos,2.39 : 1
12th Fail,2023,147,Not Rated,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Atmos Dolby Digital,2.39 : 1
Raiders of the Lost Ark,1981,115,PG,18000000,248159971,8305823,1981-06-14 00:00:00,389925971,Color,Dolby Atmos,2.39 : 1
The Lives of Others,2006,137,R,2000000,11286112,223000,2007-02-11 00:00:00,77357476,Color,Dolby Digital,2.39 : 1
Sunset Boulevard,1950,110,Approved,1752000,299645,169067,2018-05-13 00:00:00,304474,,,
Avengers: Infinity War,2018,149,PG-13,321000000,678815482,257698183,2018-04-29 00:00:00,2052415039,,,
Paths of Glory,1957,88,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Spider-Man: Into the Spider-Verse,2018,117,PG,90000000,190241310,35363376,2018-12-16 00:00:00,384298736,Color,Dolby Atmos Dolby Surround 7.1 12-Track Digital Sound Dolby Digital SDDS,2.39 : 1
Witness for the Prosecution,1957,116,Approved,0,0,0,1900-01-01 00:00:00,0,,,
The Shining,1980,146,R,19000000,45634352,622337,1980-05-26 00:00:00,47516353,,,
The Great Dictator,1940,125,G,0,0,0,1900-01-01 00:00:00,0,,,
Aliens,1986,137,R,18500000,85160248,10052042,1986-07-20 00:00:00,131060248,Color,Dolby Stereo Mono,1.85 : 1
Inglourious Basterds,2009,153,R,70000000,120540719,38054676,2009-08-23 00:00:00,321458605,Color,SDDS Dolby Digital DTS,2.39 : 1
The Dark Knight Rises,2012,164,PG-13,250000000,448149584,160887295,2012-07-22 00:00:00,1085289416,Color,SDDS Datasat Dolby Digital IMAX 6-Track,1.78 : 1(IMAX version original ratio)2.39 : 12.39 : 1(IMAX version original ratio)
Coco,2017,105,PG,175000000,210460015,50802605,2017-11-26 00:00:00,828369186,Color,Dolby Atmos Auro 11.1 Dolby Surround 7.1 12-Track Digital Sound Dolby Digital SDDS,2.35 : 1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG,1800000,9440272,11751,1994-07-17 00:00:00,9631984,,,
Oldboy,2003,120,R,3000000,2458200,68957,2005-03-27 00:00:00,17542965,Color,Dolby Digital Dolby Surround 7.1 Dolby Digital EX DTS,2.35 : 1
Amadeus,1984,160,PG,18000000,51973029,505276,1984-09-23 00:00:00,52071304,,,
American Beauty,1999,122,R,15000000,130096601,861531,1999-09-19 00:00:00,356296601,Color Black and White,DTS Dolby Digital SDDS Dolby,2.39 : 1
Toy Story,1995,81,G,30000000,223225679,29140617,1995-11-26 00:00:00,394436586,,,
Avengers: Endgame,2019,181,PG-13,356000000,858373000,357115007,2019-04-28 00:00:00,2799439100,,,
Das Boot,1981,149,Not Rated,32000000,11487676,26994,1982-02-14 00:00:00,11488778,,,
Braveheart,1995,178,R,72000000,75609945,9938276,1995-05-28 00:00:00,213216216,Color,DTS Dolby Digital Dolby Atmos,2.39 : 1
Good Will Hunting,1997,126,R,10000000,138433435,272912,1997-12-07 00:00:00,225933435,Color,Dolby Digital,1.85 : 1
Princess Mononoke,1997,134,PG-13,2400000000,4845631,144446,1999-10-31 00:00:00,170308860,,,
Joker,2019,122,R,55000000,335477657,96202337,2019-10-06 00:00:00,1078958629,Color,SDDS Dolby Atmos Datasat Dolby Digital,1.85 : 1
Your Name.,2016,106,Not Rated,370000000,5017246,1813781,2017-04-09 00:00:00,382238191,Color,Dolby Digital,1.78 : 1(original ratio)
High and Low,1963,143,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Once Upon a Time in America,1984,229,R,30000000,5321508,2412014,1984-06-03 00:00:00,5475086,Color,Mono Dolby Digital,1.85 : 1
3 Idiots,2009,170,PG-13,550000000,6532874,1645502,2009-12-27 00:00:00,60262836,Color,Dolby Digital DTS,2.35 : 1
Singin' in the Rain,1952,103,G,2540800,1884537,13643,2002-11-10 00:00:00,2086028,Color Black and White,Dolby Digital,1.37 : 1
Capernaum,2018,126,R,4000000,1661096,24988,2018-12-16 00:00:00,64417003,Color,Dolby Digital,2.35 : 1
Come and See,1985,142,Not Rated,0,0,0,1900-01-01 00:00:00,0,Color,Mono,1.37 : 1
Requiem for a Dream,2000,102,NC-17,4500000,3635482,64770,2000-10-08 00:00:00,7390108,Color,Dolby Surround 7.1 Dolby Digital Dolby Atmos,1.85 : 1
Toy Story 3,2010,103,G,200000000,415004880,110307189,2010-06-20 00:00:00,1067316101,Color,SDDS Dolby Digital Dolby Surround 7.1 Dolby Atmos,1.78 : 1(original & intended ratio Blu-ray)
Star Wars: Episode VI - Return of the Jedi,1983,131,PG,32500000,316566101,23019618,1983-05-29 00:00:00,475106177,Color,Dolby Stereo,2.39 : 1
Eternal Sunshine of the Spotless Mind,2004,108,R,20000000,34400301,8175198,2004-03-21 00:00:00,73393152,Color,DTS Dolby SDDS,1.85 : 1
The Hunt,2012,115,R,20000000,613308,43045,2013-07-14 00:00:00,15886373,Color,Dolby Digital,2.35 : 1
2001: A Space Odyssey,1968,149,G,12000000,60481243,202759,2018-05-20 00:00:00,66679293,Color,Dolby Digital,2.20 : 1
Reservoir Dogs,1992,99,R,1200000,2832029,147839,1992-10-25 00:00:00,2930208,Color,Dolby Stereo Dolby Digital,2.35 : 1
Ikiru,1952,143,Not Rated,0,0,0,1900-01-01 00:00:00,0,Black and White,Mono,1.37 : 1
Oppenheimer,2023,180,R,100000000,329862540,82455420,2023-07-23 00:00:00,975134850,,,
Lawrence of Arabia,1962,218,PG,15000000,45306425,20846,2002-09-22 00:00:00,45752380,,,
The Apartment,1960,125,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Incendies,2010,131,R,6800000,2071334,50679,2011-04-24 00:00:00,6797861,Color,Dolby Digital,1.85 : 1
North by Northwest,1959,136,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Citizen Kane,1941,119,PG,0,0,0,1900-01-01 00:00:00,0,,,
M,1931,99,Passed,0,0,0,1900-01-01 00:00:00,0,Black and White,Mono,1.19 : 11.20 : 1
Scarface,1983,170,R,50000000,45967303,4597536,1983-12-11 00:00:00,66443303,Color,4-Track Stereo,2.39 : 1
Double Indemnity,1944,107,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Vertigo,1958,128,PG,2479000,7705225,252880,2018-03-18 00:00:00,7808250,,,
Full Metal Jacket,1987,116,R,30000000,46357676,2217307,1987-06-28 00:00:00,50187505,,,
Amélie,2001,122,R,10000000,33712444,136470,2001-11-04 00:00:00,174926751,Color Black and White,DTS Dolby Digital,2.39 : 1
Heat,1995,170,R,60000000,67436818,8445656,1995-12-17 00:00:00,187436818,Color,Dolby Digital SDDS Dolby Surround 5.1,2.39 : 1
Up,2009,96,PG,175000000,293004164,68108790,2009-05-31 00:00:00,735102136,Color,SDDS Dolby Digital Dolby Atmos Dolby Surround 7.1,1.85 : 1
A Clockwork Orange,1971,136,R,0,0,0,1900-01-01 00:00:00,0,Color Black and White,Mono,1.66 : 1
To Kill a Mockingbird,1962,129,Approved,2000000,592237,357549,2019-03-24 00:00:00,599146,Black and White,Dolby Digital,1.85 : 1
A Separation,2011,123,PG-13,500000,7099055,59481,2012-01-01 00:00:00,22926076,Color,Dolby Digital,1.85 : 1
The Sting,1973,129,PG,0,0,0,1900-01-01 00:00:00,0,,,
Indiana Jones and the Last Crusade,1989,127,PG-13,48000000,197171806,29355021,1989-05-28 00:00:00,474171806,Color,Dolby Atmos,2.39 : 1
Die Hard,1988,132,R,28000000,85892546,601851,1988-07-17 00:00:00,143651650,,,
Like Stars on Earth,2007,162,PG,0,0,0,1900-01-01 00:00:00,0,Color,DTS Dolby Digital,2.35 : 1
Metropolis,1927,153,Not Rated,6000000,1236166,19386,2002-07-14 00:00:00,1350322,,,
Snatch,2000,102,R,6000000,30328156,27932,2000-12-10 00:00:00,83557872,Color,Dolby Digital SDDS Dolby Atmos,1.85 : 1
L.A. Confidential,1997,138,R,35000000,64616940,5211198,1997-09-21 00:00:00,126216940,Color,Dolby Digital,2.39 : 1
1917,2019,119,R,95000000,159227644,576216,2019-12-29 00:00:00,390411425,Color,Dolby Atmos Dolby Digital Dolby Surround 7.1,2.39 : 1
Hamilton,2020,160,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Atmos Dolby Surround 7.1 Dolby Digital,1.85 : 1
Bicycle Thieves,1948,89,Not Rated,133000,371111,25377,1998-10-04 00:00:00,450159,Black and White,Mono,1.37 : 1
Taxi Driver,1976,114,R,1300000,28262574,116458,1996-02-19 00:00:00,28579636,,,
Downfall,2004,156,R,13500000,5509040,18195,2005-02-20 00:00:00,92181574,Color,Dolby Digital DTS,1.85 : 1
Dangal,2016,161,Not Rated,700000000,12391761,3248481,2016-12-25 00:00:00,303723636,Color,Dolby Atmos,2.35 : 1
For a Few Dollars More,1965,132,R,0,0,0,1900-01-01 00:00:00,0,Color,Mono,2.35 : 1
Batman Begins,2005,140,PG-13,150000000,206863479,48745440,2005-06-19 00:00:00,375325692,Color,DTS Dolby Digital SDDS,2.39 : 1
The Wolf of Wall Street,2013,180,R,100000000,116900694,18361578,2013-12-29 00:00:00,407039432,Color,Datasat Dolby Digital Dolby Surround 7.1,2.39 : 1
Some Like It Hot,1959,121,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Green Book,2018,130,PG-13,23000000,85080171,320429,2018-11-18 00:00:00,321752656,Color,Dolby Surround 7.1 SDDS,2.00 : 1
The Kid,1921,68,Passed,0,0,0,1900-01-01 00:00:00,0,,,
The Father,2020,97,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,2.39 : 1
Judgment at Nuremberg,1961,179,Approved,0,0,0,1900-01-01 00:00:00,0,,,
The Truman Show,1998,103,PG,60000000,125618201,31542121,1998-06-07 00:00:00,264118712,Color,DTS Dolby Digital Dolby Atmos,1.66 : 1
All About Eve,1950,138,Approved,1400000,63463,10177,2000-10-08 00:00:00,154501,,,
Shutter Island,2010,138,R,80000000,128012934,41062440,2010-02-21 00:00:00,294937186,Color,SDDS Dolby Digital DTS,2.39 : 1
Top Gun: Maverick,2022,130,PG-13,170000000,718732821,126707459,2022-05-29 00:00:00,1495696292,Color,Dolby Atmos Auro 11.1 IMAX 6-Track 12-Track Digital Sound Sonics-DDP,2.39 : 1
There Will Be Blood,2007,158,R,25000000,40222514,190739,2007-12-30 00:00:00,76186224,Color,SDDS Dolby Digital DTS,2.39 : 1
Casino,1995,178,R,52000000,42512375,9946480,1995-11-26 00:00:00,116112375,Color,DTS-Stereo DTS,2.39 : 1
Jurassic Park,1993,127,PG-13,63000000,407185075,47026828,1993-06-13 00:00:00,1103086582,Color,DTS,1.85 : 1
Ran,1985,160,R,11500000,4135750,3567,2000-07-02 00:00:00,4166319,,,
The Sixth Sense,1999,107,PG-13,40000000,293506292,26681262,1999-08-08 00:00:00,672806432,Color,DTS Dolby Digital SDDS,1.85 : 1
Pan's Labyrinth,2006,118,R,19000000,37646380,568641,2006-12-31 00:00:00,83863565,Color,DTS Dolby Digital SDDS Dolby Surround 7.1,1.85 : 1
Unforgiven,1992,130,R,14400000,101167799,15018007,1992-08-09 00:00:00,159167799,,,
No Country for Old Men,2007,122,R,25000000,74283625,1202000,2007-11-11 00:00:00,171632777,Color,SDDS Dolby Digital DTS,2.39 : 1
A Beautiful Mind,2001,135,PG-13,58000000,170742341,367151,2001-12-23 00:00:00,316791257,Color,DTS Dolby Digital SDDS,1.85 : 1
The Thing,1982,109,R,15000000,19857465,3107897,1982-06-27 00:00:00,19872469,,,
Kill Bill: Vol. 1,2003,111,R,30000000,70099045,22200000,2003-10-12 00:00:00,180908413,Color Black and White,DTS Dolby Digital SDDS,2.39 : 1
The Treasure of the Sierra Madre,1948,126,Approved,3000000,5014000,144074,2018-01-14 00:00:00,5014000,,,
Yojimbo,1961,110,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Monty Python and the Holy Grail,1975,91,PG,229575,2562392,45487,2001-06-17 00:00:00,2817496,,,
The Great Escape,1963,172,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Finding Nemo,2003,100,G,94000000,380843261,70251710,2003-06-01 00:00:00,941637960,,,
Prisoners,2013,153,R,46000000,61002302,20817053,2013-09-22 00:00:00,122127446,,,
Howl's Moving Castle,2004,119,PG,24000000,6789268,427987,2005-06-12 00:00:00,237731798,Color,Dolby Digital EX DTS-ES SDDS,1.85 : 1
Rashomon,1950,88,Not Rated,250000,46808,15942,2002-07-28 00:00:00,117668,,,
The Elephant Man,1980,124,PG,0,0,0,1900-01-01 00:00:00,0,Black and White,Dolby Stereo,2.35 : 1
Dial M for Murder,1954,105,PG,1400000,24845,12562,1999-04-11 00:00:00,43308,,,
Chinatown,1974,130,R,0,0,0,1900-01-01 00:00:00,0,,,
Gone with the Wind,1939,238,G,3977000,200882193,1192593,1998-06-28 00:00:00,402382193,,,
Lock Stock and Two Smoking Barrels,1998,107,R,960000,3753929,143321,1999-03-07 00:00:00,3753929,Color,Dolby Digital,1.85 : 1
V for Vendetta,2005,132,R,54000000,70511035,25642340,2006-03-19 00:00:00,134686457,Color,DTS Dolby Digital SDDS Dolby Atmos,2.35 : 1
The Secret in Their Eyes,2009,129,R,2000000,6391436,167866,2010-04-18 00:00:00,35079650,Color,Dolby Digital,2.35 : 1
Inside Out,2015,95,PG,175000000,356921711,90440272,2015-06-21 00:00:00,858852998,Color,Dolby Digital Datasat Dolby Atmos SDDS Dolby Surround 7.1 Auro 11.1 12-Track Digital Sound D-Cinema 48kHz Dolby Surround 7.1 D-Cinema 96kHz 7.1 D-Cinema 96kHz 5.1,1.78 : 1
Raging Bull,1980,129,R,18000000,23383987,128590,1980-11-16 00:00:00,23405198,Black and White Color,Dolby Stereo,1.85 : 1
Three Billboards Outside Ebbing Missouri,2017,115,R,15000000,54513740,322168,2017-11-12 00:00:00,162729321,Color,Dolby Digital,2.35 : 1
Trainspotting,1996,93,R,1500000,16491080,262673,1996-07-21 00:00:00,16970564,Color,Dolby SR,1.85 : 1
The Bridge on the River Kwai,1957,161,PG,0,0,0,1900-01-01 00:00:00,0,,,
Klaus,2019,96,PG,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Atmos,1.85 : 1
Fargo,1996,98,R,7000000,24611975,730265,1996-03-10 00:00:00,60611975,Color,Dolby SR,1.85 : 1
Catch Me If You Can,2002,141,PG-13,52000000,164615351,30053627,2002-12-29 00:00:00,352114312,Color,DTS Dolby Digital SDDS,1.85 : 1
Spider-Man: No Way Home,2021,148,PG-13,200000000,814866759,260138569,2021-12-19 00:00:00,1922598800,,,
Warrior,2011,140,PG-13,25000000,13657115,5242107,2011-09-11 00:00:00,23308615,Color,Dolby Digital Datasat SDDS Dolby Surround 7.1 Dolby Atmos,2.35 : 1
Gran Torino,2008,116,R,33000000,148095302,271720,2008-12-14 00:00:00,269958228,Color,DTS Dolby Digital SDDS,2.39 : 1
Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,125000000,381447587,169189427,2011-07-17 00:00:00,1342480797,Color,Dolby Digital Datasat Dolby Surround 7.1 SDDS Sonics-DDP,2.39 : 1
Million Dollar Baby,2004,132,PG-13,30000000,100492203,179953,2004-12-19 00:00:00,216763646,Color,DTS Dolby Digital SDDS,2.39 : 1
My Neighbor Totoro,1988,86,G,3700000,2250213,539245,2018-09-30 00:00:00,30695952,,,
Children of Heaven,1997,89,PG,180000,933933,20100,1999-01-24 00:00:00,933933,Color,Mono,1.85 : 1
12 Years a Slave,2013,134,R,20000000,56671993,923715,2013-10-20 00:00:00,187734091,Color,Dolby Digital SDDS Dolby Surround 7.1,2.35 : 1
Ben-Hur,1959,212,G,15000000,74432704,241792,2019-04-14 00:00:00,74439292,,,
Blade Runner,1982,117,R,28000000,32914489,6150002,1982-06-27 00:00:00,41757237,Color,Dolby Atmos,2.39 : 1
Before Sunrise,1995,101,R,2500000,5535405,1423537,1995-01-29 00:00:00,5993086,,,
Barry Lyndon,1975,185,PG,0,0,0,1900-01-01 00:00:00,0,,,
The Grand Budapest Hotel,2014,99,R,25000000,59301324,811166,2014-03-09 00:00:00,174567384,,,
Mad Max: Fury Road,2015,120,R,150000000,154280290,45428128,2015-05-17 00:00:00,380418444,Color,Dolby Digital Datasat SDDS Dolby Atmos,2.39 : 1
Gone Girl,2014,149,R,61000000,167767189,37513109,2014-10-05 00:00:00,370890259,Color,Dolby Digital Dolby Atmos Datasat Dolby Surround 7.1,2.39 : 1
Hacksaw Ridge,2016,139,R,40000000,67209615,15190758,2016-11-06 00:00:00,180563636,Color,Dolby Atmos,2.35 : 1
Dead Poets Society,1989,128,PG,16400000,95860116,340456,1989-06-04 00:00:00,235860116,,,
The Gold Rush,1925,95,Approved,0,0,0,1900-01-01 00:00:00,0,Black and White,Silent,1.33 : 1
Memories of Murder,2003,132,Not Rated,2800000,15357,4487,2005-07-17 00:00:00,1208481,Color,Dolby Digital,1.85 : 1
In the Name of the Father,1993,133,R,13000000,25096862,109805,1994-01-02 00:00:00,65796862,Color,Dolby Stereo DTS,1.85 : 1
Wild Tales,2014,122,R,3300000,3106530,85100,2015-02-22 00:00:00,31478893,Color,Dolby Surround 7.1,2.35 : 1
Monsters Inc.,2001,92,G,115000000,290642256,62577067,2001-11-04 00:00:00,579723768,Color,SDDS Dolby Digital,1.85 : 1
The Deer Hunter,1978,183,R,0,0,0,1900-01-01 00:00:00,0,,,
The General,1926,78,Passed,0,0,0,1900-01-01 00:00:00,0,,,
On the Waterfront,1954,108,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Sherlock Jr.,1924,0,Passed,0,0,0,1900-01-01 00:00:00,0,Black and White,Silent,1.33 : 1
How to Train Your Dragon,2010,98,PG,165000000,217581231,43732319,2010-03-28 00:00:00,494879860,Color,Dolby Digital DTS SDDS,2.39 : 1
Jaws,1975,124,PG,7000000,266567580,7061513,1975-06-22 00:00:00,477220580,,,
Mary and Max,2009,92,Not Rated,0,0,0,1900-01-01 00:00:00,0,Color Black and White,Dolby Digital,1.85 : 1
The Third Man,1949,93,Approved,0,0,0,1900-01-01 00:00:00,0,,,
The Wages of Fear,1953,131,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Ratatouille,2007,111,G,150000000,206445654,47027395,2007-07-01 00:00:00,623728318,Color,SDDS Dolby Digital Dolby Atmos,2.39 : 1
Wild Strawberries,1957,91,Not Rated,0,0,0,1900-01-01 00:00:00,0,Black and White,Mono,1.33 : 1
Mr. Smith Goes to Washington,1939,129,Approved,1900000,144738,83205,2018-10-14 00:00:00,145941,,,
Ford v Ferrari,2019,152,PG-13,97600000,117624357,31474958,2019-11-17 00:00:00,225508210,Color,Dolby Atmos Dolby Digital,2.39 : 1
Tokyo Story,1953,136,Not Rated,0,0,0,1900-01-01 00:00:00,0,Black and White,Mono,1.37 : 1
The Big Lebowski,1998,117,R,15000000,19301403,5533844,1998-03-08 00:00:00,48066229,Color,DTS Dolby Digital SDDS,1.85 : 1
Rocky,1976,120,PG,0,0,0,1900-01-01 00:00:00,0,Color,Mono Dolby Digital,1.85 : 1
The Seventh Seal,1957,96,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Room,2015,118,R,13000000,14677654,118298,2015-10-18 00:00:00,35402766,Color,Dolby Digital Datasat Dolby Atmos,2.35 : 12.39 : 1
Logan,2017,137,R,97000000,226277068,88411916,2017-03-05 00:00:00,619180476,Color,Dolby Atmos Dolby Digital Dolby Surround 7.1 SDDS,2.39 : 1
Spotlight,2015,129,R,20000000,45055776,295009,2015-11-08 00:00:00,98690254,Color,Dolby Digital,1.85 : 1
Hotel Rwanda,2004,121,PG-13,17500000,23530892,100091,2004-12-26 00:00:00,33882243,Color,DTS Dolby Digital,2.35 : 1
The Terminator,1984,107,R,6400000,38371200,4020663,1984-10-28 00:00:00,78371200,Color,Mono,1.85 : 1
Platoon,1986,120,R,6000000,138530565,241080,1986-12-21 00:00:00,138545632,Color,Dolby Stereo Dolby Digital,1.85 : 1
The Passion of Joan of Arc,1928,114,Passed,0,0,0,1900-01-01 00:00:00,0,Black and White,Silent,1.33 : 1
La haine,1995,98,Not Rated,0,0,0,1900-01-01 00:00:00,0,Black and White,Dolby Digital,1.85 : 1
